Variable Label,Risk,Cluster Labels,Cluster Name,Thresh1,Thresh2,Thresh3,Thresh4,Domain,Topic,Variable Name,age,min,max,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,Score,county,zip,census,nonveteran,veterans,weight,veteran_status
Total number of alternative schools in the county,Educational Challenges,3,Educational Institution Count,124.0,10.0,0.0,0.0,3. Education,School System,CRDC_TOT_ALT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of Local Education Authorities in a county,Educational Challenges,3,Educational Institution Count,342.0,12.0,2.0,1.0,3. Education,School System,CRDC_TOT_LEA,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of public schools in the county,Educational Challenges,3,Educational Institution Count,1919.0,65.0,16.0,1.0,3. Education,School System,CRDC_TOT_SCHOOLS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of special education schools in the county,Educational Challenges,3,Educational Institution Count,83.0,7.0,0.0,0.0,3. Education,School System,CRDC_TOT_SPEDS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of students with limited English proficiency in the county,Educational Challenges,2,English Proficiency,0.0,1921.0,19162.0,261569.0,3. Education,School System,CRDC_TOT_STUD_LEP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of population with less than high school education (ages 25 and over),Educational Challenges,1,Educational Qualifications,0.0,9.28,17.83,100.0,3. Education,Attainment,ACS_PCT_LT_HS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with any postsecondary education (ages 25 and over),Educational Challenges,1,Educational Qualifications,100.0,57.29,43.85,0.0,3. Education,Attainment,ACS_PCT_POSTHS_ED,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with a master's or professional school degree or doctorate (ages 25 and over),Educational Challenges,1,Educational Qualifications,100.0,7.8,3.95,0.0,3. Education,Attainment,ACS_PCT_GRADUATE_DGR,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of Local Education Authorities in a county that offer pre-school services or programs to children (ages 3–5),Educational Challenges,0,Childcare Educational Programs,100.0,73.33,42.86,0.0,,,CRDC_PCT_COUNTY_PREK,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Local Education Authorities in a county that offer early childhood services to children (ages 0-2),Educational Challenges,0,Childcare Educational Programs,100.0,40.0,0.0,0.0,3. Education,School System,CRDC_PCT_COUNTY_ECE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Local Education Authorities in a county that offer preschool to low-income families,Educational Challenges,0,Childcare Educational Programs,100.0,14.81,5.26,0.0,3. Education,School System,CRDC_PCT_CTY_PSLOWINC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Local Education Authorities in a county that offer preschool to children in Title I schools,Educational Challenges,0,Childcare Educational Programs,100.0,10.42,2.7,0.0,3. Education,School System,CRDC_PCT_CTY_PSTITLEI,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Local Education Authorities in a county that offer one or more kindergarten programs,Educational Challenges,0,Childcare Educational Programs,100.0,92.86,80.0,0.0,3. Education,School System,CRDC_PCT_CTY_KGTN,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
